from_node_id,to_node_id
4,9
6,9
7,9
9,4
9,5
9,6
9,47
9,48
9,54
9,57
9,58
9,1521
9,15328
11,12
12,14
12,19
12,20
12,21
12,24
12,26
12,27
12,30
12,31
12,209
13,12
13,31
14,12
14,31
15,12
16,12
16,78
18,12
19,12
19,31
20,12
21,12
21,31
22,31
23,12
24,12
25,12
26,12
26,31
26,78
27,12
28,12
29,12
30,12
31,12
31,14
31,19
31,24
31,26
31,27
31,67
31,133
31,134
31,4956
32,4
32,33
32,34
32,35
32,36
32,37
32,38
32,39
32,40
32,41
33,32
36,2490
37,32
47,9
54,9
57,9
58,9
66,12
66,31
67,12
67,31
69,12
70,12
73,12
73,31
74,12
74,78
76,12
76,2496
77,12
78,26
78,74
78,214
78,266
78,268
78,270
78,1107
78,1108
78,1149
78,1216
118,9
133,12
133,31
134,12
134,31
135,12
135,31
136,12
136,31
138,12
160,2490
171,15330
188,9
194,9
202,31
203,12
203,31
204,12
204,31
208,12
208,4971
209,12
209,4971
258,12
261,12
264,12
266,78
268,78
270,78
318,1964
323,12
325,12
337,396
338,396
369,4984
371,12
386,2545
393,396
394,396
396,280
396,337
396,338
396,392
396,393
396,394
396,395
396,398
396,399
396,436
397,396
398,396
399,396
410,1242
419,12
431,5001
433,396
434,396
444,1240
444,1242
447,1240
447,1242
448,1240
451,1242
472,512
485,2565
492,550
495,1271
510,512
511,512
512,472
512,510
512,511
512,513
512,514
512,516
512,576
512,5027
512,6257
512,30208
513,512
514,512
515,11629
545,550
548,550
550,441
550,487
550,488
550,489
550,490
550,492
550,545
550,546
550,548
550,551
551,550
552,635
552,638
554,635
554,638
576,512
577,512
580,512
632,638
633,744
635,554
635,632
635,636
635,637
635,750
635,751
635,752
635,753
635,12489
635,12490
636,638
637,638
638,636
638,637
638,750
638,751
638,752
638,753
638,754
638,756
638,873
638,874
709,2104
744,279
744,406
744,410
744,633
744,742
744,743
744,854
744,855
744,856
744,857
747,869
750,638
751,638
752,638
753,638
754,638
755,638
756,638
758,638
760,2081
762,929
762,2081
764,929
765,929
765,2081
766,929
