from_node_id,to_node_id
5,46
5,53
6,46
7,46
10,46
32,40
33,109
34,85
35,85
38,85
40,86
40,87
40,88
40,89
40,90
40,91
40,92
40,93
40,94
40,95
44,107
44,109
45,1042
46,5
46,6
46,47
46,48
46,51
46,62
46,108
46,110
46,111
46,112
47,46
47,53
51,1048
53,5
53,46
53,47
53,48
53,113
53,114
53,115
53,116
53,117
53,118
54,1051
55,109
62,46
63,46
64,1042
71,146
84,85
85,34
85,35
85,84
85,159
85,1076
85,1156
85,1565
85,1567
85,1576
85,4959
86,40
87,40
88,40
105,107
105,109
106,109
107,44
107,45
107,49
107,50
107,105
107,115
107,749
107,1277
107,1743
107,6235
108,46
109,5
109,44
109,49
109,50
109,55
109,105
109,106
109,107
109,173
109,1917
110,46
111,46
111,3945
112,46
113,46
113,53
114,53
115,107
116,53
117,46
117,53
117,107
118,53
144,146
146,71
146,72
146,144
146,147
146,217
146,1064
146,1109
146,2509
146,2510
146,2511
159,85
169,1119
177,46
178,46
179,46
180,46
182,46
185,109
187,53
216,275
220,285
221,3237
231,85
232,85
234,46
237,46
242,3964
254,321
256,321
270,275
275,214
275,216
275,267
275,268
275,270
275,1144
275,1145
275,2211
275,2212
275,3024
276,275
282,107
285,82
285,151
285,220
285,286
285,287
285,289
285,291
285,1154
285,1957
285,3976
286,285
287,285
288,285
289,285
290,285
291,285
298,46
299,46
299,3945
300,46
301,1161
302,53
305,1161
306,2537
320,321
321,24
321,139
321,140
321,211
321,254
321,255
321,256
321,264
321,320
321,55433
334,1172
335,1172
355,46
356,422
363,1188
365,53
365,13803
382,1203
384,1203
385,1203
387,1203
404,1989
422,189
422,241
422,307
422,356
422,423
422,468
422,6246
422,6247
422,6248
431,4047
443,494
446,500
457,2557
458,1255
458,1258
468,422
469,2005
493,494
493,5020
494,403
494,443
494,493
494,495
494,496
494,497
494,552
494,553
494,554
494,555
495,494
496,5020
497,494
498,500
499,500
500,443
500,446
500,498
500,499
500,501
500,502
500,503
500,504
500,505
500,556
501,500
502,500
503,500
504,500
531,2032
532,1304
533,612
552,494
554,494
555,494
596,695
601,54929
607,612
609,612
612,533
612,607
612,609
612,706
612,2583
612,2584
612,2585
612,2586
612,2587
612,2588
633,494
634,494
666,776
695,524
695,529
695,596
695,601
695,696
695,1025
695,1512
695,2627
695,2628
695,2629
696,695
698,6273
701,5046
706,612
706,2588
721,1354
729,846
731,846
732,846
734,846
735,846
739,846
742,494
776,1339
776,2012
776,2083
776,2084
776,2085
776,2086
776,2087
776,2088
776,2089
786,3217
821,2115
833,908
836,908
843,2115
844,5068
846,546
846,729
846,730
846,731
846,732
846,734
846,735
846,736
846,739
846,3666
855,3237
856,3241
860,494
863,494
881,5079
887,1354
905,908
906,908
908,833
908,836
908,905
908,906
908,938
908,940
908,945
908,985
908,2139
908,2140
914,958
935,1354
952,4047
957,958
958,914
958,957
958,1466
958,1467
958,1468
958,1469
958,1470
958,1471
958,1472
958,1473
1019,2196
1031,109
1034,46
1035,46
1036,1042
1037,1042
1041,9239
1042,45
1042,1036
1042,1037
1042,1615
1042,1616
1042,1617
1042,1618
1042,1733
1042,1734
1042,2746
1043,1042
1045,1042
1046,1048
1047,1048
1048,36
1048,51
1048,1046
1048,1047
1048,1049
1048,1050
1048,1525
1048,1526
1048,1527
1048,1528
1051,5
1051,6
1051,9
1051,47
1051,54
1051,56
1051,57
1051,58
1051,1052
1051,1053
1052,1051
1053,109
1053,1051
1054,109
1055,109
1074,85
1075,85
1076,85
1093,109
1094,1258
1096,107
1096,109
1105,1042
1119,1874
1119,4059
1119,4060
1119,4061
1119,4062
1119,4063
1119,4064
1119,4065
1119,4066
1119,4067
1122,46
1123,46
1123,3945
1130,85
1131,46
1132,46
1144,275
1145,275
1147,2215
1147,2777
1148,2215
1148,2777
1149,2215
1153,285
1154,285
1155,285
1156,85
1160,1161
1161,113
1161,185
1161,301
1161,1159
1161,2225
1161,2226
1161,2227
1161,2536
1161,3351
1161,5114
1172,276
1172,334
1172,335
1172,1173
1172,1174
1172,1177
1172,1578
1172,1579
1172,1580
1172,1581
1173,1172
1174,1172
1176,1172
1177,1172
1178,1172
1179,1172
1188,309
1188,363
1188,1189
1188,1190
1188,1192
1188,1194
1188,1196
1188,1961
1188,2228
1188,2231
1189,1188
1192,1188
1194,2779
1196,1188
1203,276
1203,332
1203,336
1203,381
1203,382
1203,386
1203,387
1203,1204
1203,2547
1203,99464
1204,1203
1223,1595
1246,1042
1247,1042
1247,2238
1248,1042
1249,1042
1254,3378
1255,409
1255,458
1255,1256
1255,2241
1255,2242
1255,2244
1255,2246
1255,2790
1255,2791
1255,2792
1256,1258
1257,1255
1258,1256
1258,1259
1258,2241
1258,2243
1258,2245
1258,2246
1258,2791
1258,4078
1258,4079
1258,4080
1259,1258
1260,1258
1277,107
1289,6314
1291,6314
1291,6319
1304,2268
1304,2269
1304,2270
1304,2271
1304,2272
1304,2273
1304,2274
1304,2275
1304,2276
1304,2277
1306,4096
1306,4100
1315,11474
1339,776
1347,28939
1349,11728
1354,530
1354,586
1354,673
1354,721
1354,784
1354,886
1354,887
1354,897
1354,935
1354,2135
1370,9341
1374,9341
1383,1666
1402,25398
1441,7005
1442,3428
1463,908
1466,958
1467,958
1469,958
1470,958
1472,958
