from_node_id,to_node_id
5,46
5,53
6,46
7,46
10,46
32,40
33,109
34,85
35,85
38,85
40,86
40,87
40,88
40,89
40,90
40,91
40,92
40,93
40,94
40,95
44,107
44,109
45,1042
46,5
46,6
46,47
46,48
46,51
46,62
46,108
46,110
46,111
46,112
47,46
47,53
51,1048
53,5
53,46
53,47
53,48
53,113
53,114
53,115
53,116
53,117
53,118
54,1051
55,109
62,46
63,46
64,1042
71,146
84,85
85,34
85,35
85,84
85,159
85,1076
85,1156
85,1565
85,1567
85,1576
86,40
87,40
88,40
105,107
105,109
106,109
107,44
107,45
107,49
107,50
107,105
107,115
107,749
107,1277
107,1743
108,46
109,5
109,44
109,49
109,50
109,55
109,105
109,106
109,107
109,173
109,1917
110,46
111,46
112,46
113,46
113,53
114,53
115,107
116,53
117,46
117,53
117,107
118,53
144,146
146,71
146,72
146,144
146,147
146,217
146,1064
146,1109
159,85
169,1119
177,46
178,46
179,46
180,46
182,46
185,109
187,53
216,275
220,285
231,85
232,85
234,46
237,46
254,321
256,321
270,275
275,214
275,216
275,267
275,268
275,270
275,1144
275,1145
275,2211
275,2212
276,275
282,107
285,82
285,151
285,220
285,286
285,287
285,289
285,291
285,1154
285,1957
286,285
287,285
288,285
289,285
290,285
291,285
298,46
299,46
300,46
301,1161
302,53
305,1161
320,321
321,24
321,139
321,140
321,211
321,254
321,255
321,256
321,264
321,320
334,1172
335,1172
355,46
356,422
363,1188
365,53
382,1203
384,1203
385,1203
387,1203
404,1989
422,189
422,241
422,307
422,356
422,423
422,468
443,494
446,500
458,1255
458,1258
468,422
469,2005
493,494
494,403
494,443
494,493
494,495
494,496
494,497
494,552
494,553
494,554
494,555
495,494
497,494
498,500
499,500
500,443
500,446
500,498
500,499
500,501
500,502
500,503
500,504
500,505
500,556
501,500
502,500
503,500
504,500
531,2032
532,1304
533,612
552,494
554,494
555,494
596,695
607,612
609,612
612,533
612,607
612,609
612,706
633,494
634,494
666,776
695,524
695,529
695,596
695,601
695,696
695,1025
695,1512
696,695
706,612
721,1354
729,846
731,846
732,846
734,846
735,846
739,846
742,494
776,1339
776,2012
776,2083
776,2084
776,2085
776,2086
776,2087
776,2088
776,2089
821,2115
833,908
836,908
843,2115
846,546
846,729
846,730
846,731
846,732
846,734
846,735
846,736
846,739
860,494
863,494
887,1354
905,908
906,908
908,833
908,836
908,905
908,906
908,938
908,940
908,945
908,985
908,2139
908,2140
914,958
935,1354
957,958
958,914
958,957
958,1466
958,1467
958,1468
958,1469
958,1470
958,1471
958,1472
958,1473
1019,2196
1031,109
1034,46
1035,46
1036,1042
1037,1042
1042,45
1042,1036
1042,1037
1042,1615
1042,1616
1042,1617
1042,1618
1042,1733
1042,1734
1043,1042
1045,1042
1046,1048
1047,1048
1048,36
1048,51
1048,1046
1048,1047
1048,1049
1048,1050
1048,1525
1048,1526
1048,1527
1048,1528
1051,5
1051,6
1051,9
1051,47
1051,54
1051,56
1051,57
1051,58
1051,1052
1051,1053
1052,1051
1053,109
1053,1051
1054,109
1055,109
1074,85
1075,85
1076,85
1093,109
1094,1258
1096,107
1096,109
1105,1042
1119,1874
1122,46
1123,46
1130,85
1131,46
1132,46
1144,275
1145,275
1147,2215
1148,2215
1149,2215
1153,285
1154,285
1155,285
1156,85
1160,1161
1161,113
1161,185
1161,301
1161,1159
1161,2225
1161,2226
1161,2227
1172,276
1172,334
1172,335
1172,1173
1172,1174
1172,1177
1172,1578
1172,1579
1172,1580
1172,1581
1173,1172
1174,1172
1176,1172
1177,1172
1178,1172
1179,1172
1188,309
1188,363
1188,1189
1188,1190
1188,1192
1188,1194
1188,1196
1188,1961
1188,2228
1188,2231
1189,1188
1192,1188
1196,1188
1203,276
1203,332
1203,336
1203,381
1203,382
1203,386
1203,387
1203,1204
1204,1203
1223,1595
1246,1042
1247,1042
1247,2238
1248,1042
1249,1042
1255,409
1255,458
1255,1256
1255,2241
1255,2242
1255,2244
1255,2246
1256,1258
1257,1255
1258,1256
1258,1259
1258,2241
1258,2243
1258,2245
1258,2246
1259,1258
1260,1258
1277,107
1304,2268
1304,2269
1304,2270
1304,2271
1304,2272
1304,2273
1304,2274
1304,2275
1304,2276
1304,2277
1339,776
1354,530
1354,586
1354,673
1354,721
1354,784
1354,886
1354,887
1354,897
1354,935
1354,2135
1383,1666
1463,908
1466,958
1467,958
1469,958
1470,958
1472,958
1523,46
1525,1048
1527,1048
1531,109
1562,85
1563,85
1564,85
1565,85
1566,85
1567,85
1572,85
1573,85
1575,85
1576,85
1578,1172
1579,1172
1580,1172
1581,1172
1582,1172
1583,1172
1584,1172
1595,45
1595,1220
1595,1223
1595,1593
1595,1596
1595,1719
1595,1723
1596,1595
1614,1042
1616,1042
1617,1042
1618,1042
1619,1042
1620,1042
1665,1666
1666,1383
1666,1669
1669,1666
1706,109
1712,1798
1719,1595
1733,1042
1734,1042
1735,1042
1744,107
1758,2366
1794,1798
1798,1616
1798,1617
1798,1619
1798,1734
1798,2240
1802,107
1846,1042
1856,1042
1870,494
1870,2366
1871,2005
1874,1042
1875,1042
1894,1908
1908,1894
1917,109
1931,2394
1943,107
1946,107
1955,285
1989,403
1989,404
2003,2005
2004,2005
2005,469
2005,470
2005,748
2005,1871
2005,2003
2005,2004
2015,107
2015,109
