id,asin,title,group,salesrank,similar_count,similar_asins,categories_count,categories_list,reviews_total,reviews_downloaded,reviews_avg_rating,reviews_list
9,1859677800,Making Bread: The Taste of Traditional Home-Baking,Book,949166,0,,1,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Baking[4196]|Bread[4197]",0,0,0,
12,1590770218,"Fantastic Food with Splenda : 160 Great Recipes for Meals Low in Sugar, Carbohydrates, Fat, and Calories",Book,24741,5,0871319640;0399530258;1590770536;158040197X;1569244286,9,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Cooking by Ingredient[4208]|Herbs, Spices & Condiments[4211] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Special Diet[4317]|Diabetic & Sugar-Free[4318] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Special Diet[4317]|Low Fat[4323] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Nutrition[282861]|General[4628] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Diets & Weight Loss[4613]|Special Conditions[4632]|Low Carbohydrate[4639] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Diets & Weight Loss[4613]|Special Conditions[4632]|Low Sugar[4642] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Diets & Weight Loss[4613]|Special Conditions[4632]|Low-Fat Diet[282849] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Diets & Weight Loss[4613]|Diets[4615]|Low Carb[10924671]",12,12,4.5,date:2004-4-21|user:A2V9UBVMQFDV20|score:5|votes:8|help:8 ; date:2004-6-6|user:A3NXQLHXJZO5FB|score:5|votes:4|help:4 ; date:2004-7-5|user:A1RNV50D6DNE42|score:1|votes:7|help:3 ; date:2004-7-8|user:A3FVNS48MY8L32|score:5|votes:13|help:13 ; date:2004-7-19|user:A1WC6GEAVET9K8|score:5|votes:6|help:5 ; date:2004-8-22|user:A1PH1HGK2HFQ9G|score:5|votes:5|help:4 ; date:2004-10-9|user:A1DOK8OJ386KDS|score:5|votes:11|help:10 ; date:2004-12-28|user:A1E4FW0F5R7TOY|score:4|votes:8|help:4 ; date:2005-3-8|user:A14OJS0VWMOSWO|score:5|votes:7|help:4 ; date:2005-3-28|user:A3UDEP0MTKLLL2|score:5|votes:5|help:4 ; date:2005-5-28|user:A19UTUEBWKIZFT|score:1|votes:4|help:1 ; date:2005-6-19|user:A35X1EMOVF90JG|score:5|votes:2|help:2
31,0895872218,Backroad Buffets & Country Cafes: A Southern Guide to Meat-And-Threes & Down-Home Dining,Book,507787,3,1892514656;0399151834;0767908090,8,"|Books[283155]|Subjects[1000]|Business & Investing[3]|Industries & Professions[2624]|Hospitality, Travel & Tourism[2636] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Regional & International[4262]|U.S. Regional[4300]|South[4314] ; |Books[283155]|Subjects[1000]|Travel[27]|General[17025]|Food & Lodging[17031]|Dining[17035] ; |Books[283155]|Subjects[1000]|Travel[27]|United States[17227]|Regions[17228]|South[17244]|General[17248] ; |[265523]|Amazon.com Stores[285080]|Travel[605012]|Categories[3074321]|Travel Books[639538]|General[640084]|Food & Lodging[640090]|Dining[640094] ; |[265523]|Amazon.com Stores[285080]|Travel[605012]|Categories[3074321]|Travel Books[639538]|United States[640502]|Regions[640504]|South[640520]|General[640524] ; |[265523]|Amazon.com Stores[285080]|Home & Office[764512]|Business & Investing Books[767740]|Industries & Professions[767882]|Hospitality, Travel & Tourism[767918]",2,2,5,date:1998-11-10|user:AGZ20ROFY4740|score:5|votes:9|help:9 ; date:2001-8-30|user:AKXAJRF2AKZOH|score:5|votes:5|help:5
32,0761116982,Staff Meals from Chanterelle,Book,150657,5,1579652395;0393020436;0767903609;0312290233;0471287857,5,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Gastronomy[4229]|History[4232] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Professional Cooking[4251]|Professional[4254] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Regional & International[4262]|U.S. Regional[4300]|General[4307] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Regional & International[4262]|U.S. Regional[4300]|Middle Atlantic[4309]",11,11,4.5,date:2000-12-31|user:A2I9I77KMEBA4S|score:4|votes:50|help:48 ; date:2001-2-22|user:A1ANWZQ24OC744|score:5|votes:14|help:8 ; date:2001-3-11|user:A2NF3S0T3TRSMW|score:4|votes:15|help:14 ; date:2001-4-15|user:A1GAUV5YKHWDWI|score:5|votes:4|help:4 ; date:2001-6-4|user:A3NHBZ7KZA75YV|score:5|votes:27|help:26 ; date:2001-8-10|user:ATLOWYOXIYLT5|score:5|votes:12|help:11 ; date:2001-9-25|user:AN2IZT80ZUNJN|score:5|votes:19|help:19 ; date:2001-12-2|user:A3OIVL0JOA7OEK|score:5|votes:33|help:32 ; date:2004-5-13|user:A1WZQJW5SILMKS|score:4|votes:4|help:4 ; date:2004-7-23|user:A29LTLDS2ZLTUU|score:5|votes:2|help:2 ; date:2005-4-30|user:A20IIR0422G3A5|score:5|votes:4|help:4
78,0874850037,The Ebony Cookbook: A Date With a Dish,Book,140480,5,0874850908;0688100120;0060958138;0966187202;0688162193,2,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Regional & International[4262]|U.S. Regional[4300]|African American[4301]",3,3,4.5,date:1999-12-30|user:A3R6E2ALRIDNIA|score:5|votes:13|help:13 ; date:2000-7-17|user:A3FQJ2QCL31JDU|score:3|votes:12|help:7 ; date:2001-8-31|user:A14FQB72UBJQSD|score:5|votes:15|help:12
396,0937381608,"Brown Ale : History, Brewing Techniques, Recipes (Classic Beer Style Series, 14)",Book,132195,5,0937381683;0937381691;0937381284;0937381624;0937381594,2,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Drinks & Beverages[4219]|Beer[4221] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233]",2,2,4,date:2001-3-20|user:A3DGB4HN3QCGAL|score:3|votes:6|help:3 ; date:2004-5-29|user:AUBZO50P2FIQZ|score:5|votes:1|help:1
512,1892629011,Flavors of St. Augustine: An Historic Cookbook,Book,1457034,0,,2,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Gastronomy[4229]|History[4232] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233]",3,3,4.5,date:1999-4-4|user:A2P9FOP09ID5I8|score:4|votes:5|help:3 ; date:2000-10-14|user:A2AN0C9OE4K1WC|score:5|votes:2|help:1 ; date:2005-4-24|user:A1K9IG5MP8RW75|score:5|votes:0|help:0
550,0970007914,Mad About Shooters Baby,Book,813617,5,0811839508;0517185016;0762419016;0767901975;055329900X,4,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Drinks & Beverages[4219]|Bartending[4220] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Drinks & Beverages[4219]|Spirits[4223] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Reference[4261] ; |Books[283155]|Subjects[1000]|Reference[21]|Catalogs & Directories[11626]|Directories[170941]",0,0,0,
635,155110850X,The Essential Baking Cookbook (The Essential Series),Book,1155659,0,,2,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Baking[4196]|General[4202] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233]",1,1,4,date:2001-7-18|user:A1Y6DHEPLA2D76|score:4|votes:4|help:4
638,1878857126,"The Classic Dolci of the Italian Jews, A World of Jewish Desserts",Book,613310,5,1585674915;0811819698;1878857037;0811830527;0847826538,4,"|Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Baking[4196]|Desserts[4201] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|General[4233] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Regional & International[4262]|European[4275]|Italian[4285] ; |Books[283155]|Subjects[1000]|Cooking, Food & Wine[6]|Special Diet[4317]|Kosher[4321]",0,0,0,
