id,asin,title,group,salesrank,similar_count,similar_asins,categories_count,categories_list,reviews_total,reviews_downloaded,reviews_avg_rating,reviews_list
40,1573221740,Renovations: A Father and Son Rebuild a House and Rediscover Each Other,Book,678019,0,,3,|Books[283155]|Subjects[1000]|Home & Garden[48]|Home Design[5319]|Remodeling & Renovation[5328]|General[5335] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Family Relationships[11370]|Parent & Adult Child[11390] ; |Books[283155]|Subjects[1000]|Biographies & Memoirs[2]|Memoirs[3048891],8,8,5.0,date:2001-5-20|user:A1R4KVFUPXWLAX|score:5|votes:0|help:0 ; date:2001-5-20|user:A1R4KVFUPXWLAX|score:5|votes:2|help:2 ; date:2001-6-2|user:A3ULZJKFNGC1A3|score:5|votes:1|help:1 ; date:2001-6-5|user:A1BLR2FONEIXK7|score:5|votes:1|help:1 ; date:2001-6-15|user:A1RAEJT0EYUVP2|score:5|votes:1|help:1 ; date:2001-7-5|user:A3US58LHHTPQAG|score:5|votes:0|help:0 ; date:2001-7-5|user:A3US58LHHTPQAG|score:5|votes:3|help:2 ; date:2001-10-29|user:AYTP0O6GUC14C|score:4|votes:0|help:0
46,0826449379,Alternative Worlds in Fantasy Fiction (Contemporary Classics of Children's Literature),Book,1115213,5,0889652015;0380651939;0141301163;0440418321;0689845332,8,|Books[283155]|Subjects[1000]|Literature & Fiction[17]|Books & Reading[9988]|General[10001] ; |Books[283155]|Subjects[1000]|Literature & Fiction[17]|History & Criticism[10204]|Criticism & Theory[10207]|General[10213] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Literature Guides[11399] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Fantasy[16190]|History & Criticism[16203] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|History & Criticism[16288] ; |Books[283155]|Subjects[1000]|Teens[28]|Literature & Fiction[17443]|Classics[17445] ; |Books[283155]|Subjects[1000]|Teens[28]|Science Fiction & Fantasy[17466]|Fantasy[17468] ; |Books[283155]|Subjects[1000]|Teens[28]|Science Fiction & Fantasy[17466]|Science Fiction[17470],0,0,0.0,
53,0944708498,Baby Boomer Retirement: 65 Simple Ways to Protect Your Future,Book,566643,0,,7,|Books[283155]|Subjects[1000]|Business & Investing[3]|General[2612] ; |Books[283155]|Subjects[1000]|Business & Investing[3]|Personal Finance[2717]|Financial Planning[2721] ; |Books[283155]|Subjects[1000]|Business & Investing[3]|Personal Finance[2717]|Retirement Planning[2731] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Aging Parents[11352]|Retirement Planning[11360] ; |[265523]|Amazon.com Stores[285080]|Home & Office[764512]|Business & Investing Books[767740]|General[767880] ; |[265523]|Amazon.com Stores[285080]|Home & Office[764512]|Business & Investing Books[767740]|Personal Finance[768056]|Financial Planning[768062] ; |[265523]|Amazon.com Stores[285080]|Home & Office[764512]|Business & Investing Books[767740]|Personal Finance[768056]|Retirement Planning[768068],1,1,5.0,date:2000-4-4|user:A2MENII2EKMCQZ|score:5|votes:2|help:2
85,0912500476,Amamantar Sencillo y Puro,Book,1246085,0,,3,"|Books[283155]|Subjects[1000]|Parenting & Families[20]|Parenting[11401]|Babies & Toddlers[11403]|Breastfeeding[11404] ; |[540744]|Categories[540988]|Feeding[541564]|Breastfeeding[541568]|Books[548878] ; |[540744]|Specialty Stores[547930]|Books, Music & More[559958]|Books, Music & Videos for Parents[692266]|Breastfeeding Books[692272]",0,0,0.0,
107,038548125X,Mothers and Daughters,Book,432141,5,156138450X;0762411090;0762411147;0385481268;0811806197,5,|Books[283155]|Subjects[1000]|Arts & Photography[1]|Photography[2020]|Photo Essays[2082] ; |Books[283155]|Subjects[1000]|Nonfiction[53]|Social Sciences[11232]|Sociology[11288]|Marriage & Family[11291] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Family Relationships[11370]|General[11383] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Family Relationships[11370]|Motherhood[11388] ; |[172282]|Categories[493964]|Camera & Photo[502394]|Photography Books[733540]|Photo Essays[733676],2,2,4.0,date:1998-11-2|user:A3S826C68RQPZ9|score:5|votes:16|help:6 ; date:2000-12-15|user:A36HV1RBS0EZNI|score:3|votes:6|help:6
109,0471346608,Baby Basics : A Guide for New Parents,Book,502928,4,0062731041;0316778001;0764565168;0761121323,6,"|Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Personal Health[282800]|Women's Health[4672]|Pregnancy & Childbirth[4676]|General[4679] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Parenting[11401]|Babies & Toddlers[11403]|Infants[11410] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Parenting[11401]|General[11423] ; |[540744]|Specialty Stores[547930]|Books, Music & More[559958]|Books, Music & Videos for Parents[692266]|Infant-Development Books[692282] ; |[540744]|Specialty Stores[547930]|Books, Music & More[559958]|Books, Music & Videos for Parents[692266]|Parenting Books[692288] ; |[540744]|Specialty Stores[547930]|Books, Music & More[559958]|Books, Music & Videos for Parents[692266]|Pregnancy & Childbirth Books[692292]",5,5,5.0,date:1997-6-9|user:ATVPDKIKX0DER|score:4|votes:1|help:1 ; date:1998-8-22|user:ATVPDKIKX0DER|score:5|votes:1|help:1 ; date:1998-11-16|user:ATVPDKIKX0DER|score:5|votes:4|help:4 ; date:1999-7-20|user:A1A5M0U25QRZ5P|score:5|votes:9|help:9 ; date:2000-12-10|user:A1454RLY3BR0YM|score:5|votes:2|help:1
146,0806626062,More Prime Time Activities With Kids,Book,223675,4,0060191112;080664267X;0806629843;0806624302,4,"|Books[283155]|Subjects[1000]|Home & Garden[48]|Crafts & Hobbies[5126]|General[5144] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Family Activities[11365] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Parenting[11401]|General[11423] ; |[540744]|Specialty Stores[547930]|Books, Music & More[559958]|Books, Music & Videos for Parents[692266]|Parenting Books[692288]",1,1,4.0,date:2000-6-16|user:A125DSTEJTQ0MK|score:4|votes:2|help:2
275,093314993X,Activity Schedules for Children With Autism: Teaching Independent Behavior (Topics in Autism),Book,12528,5,1885477457;0933149964;1843100606;1890627240;1885477368,8,"|Books[283155]|Subjects[1000]|Nonfiction[53]|Education[10605]|General[10635] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Psychology & Counseling[11119]|Child Psychology[11132]|Psychology[11141] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Parenting[11401]|General[11423] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Special Needs[11436]|General[11439] ; |Books[283155]|Subjects[1000]|Nonfiction[53]|Education[10605]|Special Education[10680]|Mentally Disabled[69848] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Personal Health[282800]|Children's Health[282948]|Autism & Asperger's Syndrome[282950] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Personal Health[282800]|Children's Health[282948]|Special Needs Children[282964] ; |[540744]|Specialty Stores[547930]|Books, Music & More[559958]|Books, Music & Videos for Parents[692266]|Parenting Books[692288]",9,9,4.5,date:1999-2-9|user:ATVPDKIKX0DER|score:5|votes:40|help:39 ; date:1999-6-13|user:AQCC8K92EHTWM|score:5|votes:14|help:9 ; date:1999-8-29|user:A1QY54J812LADO|score:4|votes:76|help:65 ; date:2000-2-10|user:A30ZIWPULGECI5|score:4|votes:37|help:36 ; date:2000-3-4|user:A1I23993DJJVFA|score:5|votes:50|help:50 ; date:2000-5-21|user:A1YAEA8GC5K4L1|score:5|votes:60|help:55 ; date:2001-4-9|user:A3P4WOECOANW1M|score:5|votes:16|help:14 ; date:2002-1-29|user:A28S1FE304MYOT|score:2|votes:44|help:26 ; date:2003-6-16|user:A31EH04IXJX3C6|score:5|votes:11|help:10
285,0399522719,The Vegetarian Child,Book,677145,1,0658021559,3,"|Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Nutrition[282861]|General[4628] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Parenting[11401]|Health & Nutrition[11425] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|General[172722]",4,4,3.5,date:1998-11-20|user:AF84GEME6KRB6|score:5|votes:12|help:12 ; date:1999-4-16|user:A1IB1FRMWMWQ5X|score:5|votes:11|help:9 ; date:2000-7-16|user:A64XSWL6XKHY7|score:2|votes:15|help:15 ; date:2001-4-2|user:A64XSWL6XKHY7|score:2|votes:7|help:7
321,0345406672,Intimate Worlds,Book,141866,5,0345350707;0679457038;0345297911;0060081570;0205359051,4,"|Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Psychology & Counseling[11119]|Counseling[11149]|Couples & Family Therapy[11154] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Psychology & Counseling[11119]|General[11175] ; |Books[283155]|Subjects[1000]|Health, Mind & Body[10]|Psychology & Counseling[11119]|Social Psychology & Interactions[11223] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Family Relationships[11370]|General[11383]",2,2,5.0,date:2002-11-22|user:A16SFHWBSA6M4H|score:5|votes:0|help:0 ; date:2004-9-20|user:A3L0E4CASGNBQ|score:5|votes:3|help:2
