id,asin,title,group,salesrank,similar_count,similar_asins,categories_count,categories_list,reviews_total,reviews_downloaded,reviews_avg_rating,reviews_list
13,0313230269,Clockwork Worlds : Mechanized Environments in SF (Contributions to the Study of Science Fiction and Fantasy),Book,2895088,0,,3,|Books[283155]|Subjects[1000]|Literature & Fiction[17]|History & Criticism[10204]|Criticism & Theory[10207]|General[10213] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Fantasy[16190]|History & Criticism[16203] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|History & Criticism[16288],0,0,0.0,
46,0826449379,Alternative Worlds in Fantasy Fiction (Contemporary Classics of Children's Literature),Book,1115213,5,0889652015;0380651939;0141301163;0440418321;0689845332,8,|Books[283155]|Subjects[1000]|Literature & Fiction[17]|Books & Reading[9988]|General[10001] ; |Books[283155]|Subjects[1000]|Literature & Fiction[17]|History & Criticism[10204]|Criticism & Theory[10207]|General[10213] ; |Books[283155]|Subjects[1000]|Parenting & Families[20]|Literature Guides[11399] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Fantasy[16190]|History & Criticism[16203] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|History & Criticism[16288] ; |Books[283155]|Subjects[1000]|Teens[28]|Literature & Fiction[17443]|Classics[17445] ; |Books[283155]|Subjects[1000]|Teens[28]|Science Fiction & Fantasy[17466]|Fantasy[17468] ; |Books[283155]|Subjects[1000]|Teens[28]|Science Fiction & Fantasy[17466]|Science Fiction[17470],0,0,0.0,
148,0812550749,Firebird,Book,77008,5,0756401615;0886778905;067187750X;0756400619;0756401011,3,"|Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Fantasy[16190]|General[16199] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Authors, A-Z[14652]|( L )[15504]|Lackey, Mercedes[15512]|General[284611] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Authors, A-Z[14652]|( L )[15504]|Lackey, Mercedes[15512]|Paperback[285629]",42,42,4.0,date:1996-12-23|user:A227CKIQLIBNXE|score:5|votes:0|help:0 ; date:1997-1-27|user:ATVPDKIKX0DER|score:4|votes:0|help:0 ; date:1997-4-7|user:ATVPDKIKX0DER|score:2|votes:3|help:1 ; date:1997-7-5|user:ATVPDKIKX0DER|score:4|votes:1|help:0 ; date:1997-7-28|user:A2K7C8N2RLPC8A|score:5|votes:0|help:0 ; date:1997-12-14|user:ATVPDKIKX0DER|score:2|votes:1|help:0 ; date:1998-1-2|user:ATVPDKIKX0DER|score:5|votes:0|help:0 ; date:1998-2-16|user:ATVPDKIKX0DER|score:3|votes:0|help:0 ; date:1998-4-12|user:ATVPDKIKX0DER|score:4|votes:0|help:0 ; date:1998-6-23|user:ATVPDKIKX0DER|score:3|votes:0|help:0 ; date:1998-6-30|user:A3MEFG5DQYVXLR|score:3|votes:0|help:0 ; date:1998-9-27|user:A1SS7SL9QDSQ9Q|score:5|votes:0|help:0 ; date:1998-10-22|user:ATVPDKIKX0DER|score:5|votes:0|help:0 ; date:1998-11-14|user:ATVPDKIKX0DER|score:5|votes:0|help:0 ; date:1998-12-11|user:ARBYE9RN5KRVZ|score:5|votes:1|help:1 ; date:1999-1-27|user:A33TYV9UXCYDJ7|score:5|votes:0|help:0 ; date:1999-5-20|user:ATVPDKIKX0DER|score:4|votes:0|help:0 ; date:1999-5-24|user:ATVPDKIKX0DER|score:5|votes:0|help:0 ; date:1999-5-27|user:A3UQG1PX8AP0FG|score:5|votes:0|help:0 ; date:1999-9-1|user:AT9G0UDNCQI78|score:5|votes:0|help:0 ; date:1999-11-21|user:A10NKGSD41XDIW|score:5|votes:0|help:0 ; date:2000-1-8|user:A36CI9LLL400DU|score:5|votes:6|help:6 ; date:2000-3-24|user:A34V6AVHPJOTWL|score:5|votes:0|help:0 ; date:2000-5-8|user:AICMUZWCPFI2X|score:4|votes:1|help:1 ; date:2000-5-15|user:A2YY83QJBQMZBA|score:5|votes:0|help:0 ; date:2000-5-21|user:A1XSKZN07IG780|score:5|votes:0|help:0 ; date:2000-6-1|user:A2A5J0JB3Q69UH|score:1|votes:2|help:0 ; date:2000-6-8|user:AB1XPC526AK2P|score:5|votes:3|help:3 ; date:2000-6-14|user:A1KAUFWG85KHVF|score:5|votes:0|help:0 ; date:2000-6-18|user:A2LZNOUBABJX54|score:5|votes:0|help:0 ; date:2000-7-15|user:A2TG4QNFYB9ZYC|score:4|votes:2|help:2 ; date:2000-12-3|user:ADWJX40T5Q101|score:3|votes:3|help:2 ; date:2001-2-16|user:A2IT6KHC82I50H|score:5|votes:1|help:1 ; date:2001-7-12|user:A3C0QBITNIF09C|score:5|votes:0|help:0 ; date:2001-7-25|user:A292V7PUZFNK0P|score:4|votes:1|help:1 ; date:2001-9-29|user:ACZXG7T4UGSLF|score:4|votes:3|help:3 ; date:2002-1-27|user:A3BB7DN7TMPR8Q|score:3|votes:2|help:2 ; date:2002-8-2|user:A2SLVC3BGZFYNE|score:5|votes:1|help:1 ; date:2002-10-24|user:ADLN37B0153N|score:3|votes:4|help:3 ; date:2003-4-8|user:A22ZZQFAYIZ9SR|score:4|votes:2|help:2 ; date:2004-8-12|user:A3I0D9ZPEJ9JX4|score:4|votes:0|help:0 ; date:2005-2-27|user:A3CZEXBX54HYWN|score:5|votes:0|help:0
210,158715837X,"Farewell, Nikola",Book,2592270,0,,1,|Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Fantasy[16190]|General[16199],0,0,0.0,
248,0312862156,Starlight (Starlight (Tor Paperback)),Book,777751,5,0312861842;0312867794;1582344167;0380975238;0380786230,3,|Books[283155]|Subjects[1000]|Literature & Fiction[17]|Genre Fiction[10134]|Anthologies[10137] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|Anthologies[16277] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|General[16282],4,4,4.0,date:1997-11-25|user:ATVPDKIKX0DER|score:4|votes:2|help:1 ; date:1998-9-14|user:A211CHX6KPRHBB|score:5|votes:1|help:1 ; date:1999-2-18|user:A3R5PHRM71KWDG|score:5|votes:2|help:2 ; date:1999-9-30|user:A1L1O4E2STZF6E|score:2|votes:7|help:3
330,0553138057,"Logan's Search (Logan Series, 3rd Book)",Book,785276,0,,2,|Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|General[16282] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|Series[16306]|General[224692],1,1,4.0,date:2000-12-27|user:A6NU8O4QVEKYA|score:4|votes:26|help:1
334,0743445643,"Cathedral (Star Trek Deep Space Nine: Mission Gamma, Book 3)",Book,235051,5,0743445600;0743448383;0743448405;0743418522;0743400518,4,|Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|Adventure[16273] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|General[16282] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Media[16230]|Star Trek[16244]|General[265642] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Media[16230]|Star Trek[16244]|Deep Space Nine[265643],16,16,4.0,date:2002-9-30|user:A2VMOBY7OG70AO|score:4|votes:12|help:10 ; date:2002-10-4|user:A1UR550H7821A2|score:5|votes:5|help:2 ; date:2002-10-9|user:A1B947OL8KWJMF|score:2|votes:8|help:0 ; date:2002-10-28|user:AENXJM2CKEN5L|score:5|votes:4|help:4 ; date:2002-10-31|user:ANP3R2R4V4GAN|score:2|votes:0|help:0 ; date:2002-11-5|user:A12NKUK7RWS50A|score:5|votes:2|help:2 ; date:2002-11-5|user:A2XIF5U5XU1Y9U|score:4|votes:2|help:2 ; date:2002-11-23|user:A2Y8251P67CZTH|score:4|votes:3|help:1 ; date:2002-12-30|user:A1ODZT7QUYC2LO|score:3|votes:7|help:1 ; date:2003-1-3|user:A1RSKPKEP21IWT|score:5|votes:1|help:1 ; date:2003-8-9|user:A31Z708U15LT3J|score:4|votes:1|help:1 ; date:2003-12-28|user:AKT8TGIT6VVZ5|score:4|votes:0|help:0 ; date:2004-5-21|user:A2OM3JVAQXJWD|score:5|votes:1|help:1 ; date:2004-5-30|user:ACTJO4S3Z2GBV|score:5|votes:2|help:2 ; date:2004-8-24|user:A3Q80Q6YFP5W6Q|score:5|votes:2|help:1 ; date:2004-10-1|user:A2YM2NM7YZA24Q|score:5|votes:2|help:1
423,088404291X,"Doomed Planet (Mission Earth, Vol 10)",Book,483904,5,088404288X;0884042871;0884042863;0884042855;0884042847,3,"|Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Authors, A-Z[14652]|( H )[15304]|Hubbard, L. Ron[15378] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|General[16282] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|Series[16306]|General[224692]",8,8,3.5,date:1997-10-30|user:A38T34YO9H19P4|score:5|votes:5|help:1 ; date:1999-6-2|user:ATVPDKIKX0DER|score:3|votes:2|help:1 ; date:1999-11-7|user:A17YG60BK1FKGC|score:1|votes:7|help:3 ; date:1999-11-13|user:A2GKMCO8QDOELK|score:1|votes:26|help:15 ; date:1999-12-25|user:A2TJM5A28JUVH2|score:5|votes:12|help:6 ; date:2000-5-31|user:AZUKKLJSA33BI|score:5|votes:4|help:1 ; date:2000-6-25|user:ATOFFO1VNCAGQ|score:5|votes:8|help:5 ; date:2001-8-15|user:A1JJOV69MAU2J2|score:2|votes:5|help:5
443,1563897431,"World's Finest Comics Archives, Vol. 2 (DC Archive Editions)",Book,508580,5,1563894882;1563899329;1563897253;1563899833;1563898195,3,|Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|General[16282] ; |Books[283155]|Subjects[1000]|Comics & Graphic Novels[4366]|Publishers[4396]|DC Comics[193766] ; |Books[283155]|Subjects[1000]|Comics & Graphic Novels[4366]|Graphic Novels[4390]|Superheroes[3825121],0,0,0.0,
488,0590282085,Nova's Ark,Book,520808,5,0399231285;0448438151;0448438186;0786807598;0448438143,5,"|Books[283155]|Subjects[1000]|Children's Books[4]|Baby-3[2752]|Picture Books[2784] ; |Books[283155]|Subjects[1000]|Children's Books[4]|Literature[2966]|Science Fiction, Fantasy, Mystery & Horror[3013]|Science Fiction, Fantasy, & Magic[3017] ; |Books[283155]|Subjects[1000]|Children's Books[4]|Science, Nature & How It Works[3207]|Fiction[3228] ; |Books[283155]|Subjects[1000]|Science Fiction & Fantasy[25]|Science Fiction[16272]|General[16282] ; |Books[283155]|Subjects[1000]|Children's Books[4]|Baby-3[2752]|General[3049241]",10,5,4.5,date:2000-1-15|user:A3QFE1H3RUP6Z7|score:5|votes:1|help:1 ; date:2000-5-21|user:A3QSFDDEMA8XKK|score:4|votes:5|help:5 ; date:2000-8-6|user:A1FVBPSQZPBBIS|score:5|votes:1|help:1 ; date:2000-11-17|user:A1ROJJZPBOOUTF|score:4|votes:2|help:2 ; date:2005-3-27|user:AH9HYJDTP4NZ9|score:4|votes:0|help:0
